p00	equipDevelopID
p01	equipID
p02	equipDevelopTypeID
p03	baseEquipDevelopId
p04	skill
p05	bluePrintId
p06	langEquipName
p07	langEquipInfo
p08	ftexPath
p09	equipDevelopGroupID
p10	langPowerUpInfo0
p11	langPowerUpInfo1
p12	langPowerUpInfo2
p13	langPowerUpInfo3
p14	langPowerUpInfo4
p15	langPowerUpInfo5
p16	langPowerUpInfo6
p17	langPowerUpInfo7
p30	langEquipRealName
p31	isResultRankLimited
p32	isCustomEnable
p33	isColorChangeEnable
p34	Column23
p35	Column24
p36	Column25
p50	idRelatingToConstFile
p51	derivationIndex
p52	developRank2
p53	developGmpCost
p54	usageGmpCost
p55	sectionLvForDevelop
p56	sectionID2ForDevelop
p57	sectionLv2ForDevelop
p58	resourceType1
p59	resourceType1Count
p60	resourceType2
p61	resourceType2Count
p62	initialAvailable
p63	Column39
p64	Column40
p65	resourceUsageType1
p66	resourceUsageType1Count
p67	resourceUsageType2
p68	resourceUsageType2Count
p69	Column45
p70	Column46
p71	developTimeMinute
p72	isValidMbCoin??
p73	intimacyPoint
p74	isFobAvailable
